WT0;WT1;WT2;WT3;WT4;WT5;WT6;WT7;MT0;MT1;MT2;MT3;MT4;MT5;MT6;MT7;BLANK
1.3474478249937138;1.287301986421926;1.2070404827759615;1.2454614030676388;1.3075182298214734;1.2922303243650992;1.2620568267538343;1.1815941664571283;1.2311792808649733;1.184510937892884;1.1962786019612772;1.2362081971335177;1.2457631380437515;1.200804626602967;1.1954739753583103;1.1816947447824993;1.1877294443047524
1.3165547347212894;1.2768636668905307;1.2117864338482203;1.2369711215580925;1.287239758226998;1.2910678307588985;1.2723304231027535;1.191940899932841;1.2331430490261919;1.1946608462055068;1.1876091336467427;1.237273337810611;1.2416051040967089;1.2052384150436533;1.2061450638012088;1.1884150436534586;1.1963734049697783
1.3193939393939393;1.2828282828282827;1.2153535353535354;1.2446464646464646;1.2796969696969698;1.2923232323232325;1.2801010101010102;1.1915151515151516;1.228080808080808;1.1994949494949496;1.1832323232323232;1.2212121212121212;1.2243434343434343;1.2163636363636363;1.2116161616161616;1.1855555555555555;1.196969696969697
1.3178273684210526;1.2836715789473683;1.2125305263157893;1.2449684210526315;1.2754863157894738;1.299536842105263;1.2838736842105263;1.1895915789473683;1.2125305263157893;1.2043452631578948;1.1859536842105263;1.1981810526315788;1.2034357894736842;1.2232421052631577;1.2150568421052632;1.186357894736842;1.1968673684210525
1.3256167624197366;1.288205474822575;1.2163230821223388;1.2484623183507941;1.2635687732342007;1.3180128421764108;1.300675904021629;1.1831699898614396;1.1998986143967556;1.2117607299763433;1.1980736735383575;1.1970598175059142;1.2256505576208179;1.2348766475160526;1.225954714430551;1.1951334910442717;1.200304156809733
1.3318546323153047;1.300119433543764;1.2287664221122676;1.2643917420235458;1.2772905647500428;1.3380993004606723;1.3221293294659615;1.1785019621225048;1.2110561337655692;1.22702610476028;1.2175055451288177;1.2154581129500086;1.2460672240232042;1.2482170278109537;1.243098447363931;1.21126087698345;1.2115679918102715
1.337434487498926;1.3084629263682446;1.23866311538792;1.2707277257496348;1.288048801443423;1.3502190909871983;1.337434487498926;1.1859781768193145;1.2269095283099922;1.2378383022596442;1.227734341438268;1.232992525131025;1.26598505026205;1.2570152074920526;1.2599020534410175;1.228662256207578;1.222063751181373
1.3701840808918846;1.3123152709359605;1.2480165932071559;1.275084262380088;1.3007000259268862;1.3591910811511536;1.3486129115893182;1.1987555094633133;1.2381643764583872;1.243557168784029;1.2374384236453202;1.245423904589059;1.2816178376976926;1.2637801400051853;1.2701063002333417;1.245112781954887;1.2286232823437906
1.3482505399568034;1.3098920086393089;1.2433347732181426;1.2566047516198702;1.3113434125269978;1.3588250539956803;1.3478358531317496;1.202902807775378;1.2476889848812094;1.24592656587473;1.2402246220302373;1.252561555075594;1.2866695464362852;1.2613736501079913;1.2711187904967602;1.2509028077753779;1.2265399568034556
1.3321727139532877;1.3007325691631475;1.238265965698526;1.2586400068947687;1.3114884081703007;1.3553391364302334;1.3449969835387396;1.2079634577264498;1.2573989485477892;1.242919934499698;1.2377488580539515;1.2568818409032145;1.289563044040334;1.257502370076704;1.268878738257347;1.2535723519779367;1.2219253641299663
1.3234644050372655;1.2811102544333075;1.2222050886661526;1.2480082241069133;1.3020817270624516;1.3460806990490874;1.3405294268825494;1.2032896427653559;1.2525314829092775;1.2364944744281676;1.2334104343356462;1.2544847083012078;1.2854279105628372;1.2518118735543562;1.2598303777949114;1.247905422770496;1.2174762271909534
1.3164660691421255;1.2621766965428936;1.1967221510883481;1.2532650448143405;1.3022279129321384;1.3413572343149809;1.3330601792573622;1.2019462227912932;1.2498847631241996;1.2323687580025608;1.2242765685019206;1.2481434058898846;1.2788732394366198;1.244967989756722;1.2556209987195903;1.2446606914212548;1.2116773367477593
1.295414088327541;1.2519793167754514;1.1815885394591845;1.2453674663049927;1.2894125625158939;1.3310163600915486;1.318199542256506;1.1952191235059761;1.2410951936933117;1.221259642281936;1.214240908705603;1.2399762651521575;1.271814868186827;1.2336695770111046;1.2436382131050265;1.235805713316945;1.200508603882343
1.2771341463414634;1.2542682926829267;1.1821138211382114;1.2464430894308942;1.2848577235772356;1.328150406504065;1.3188008130081301;1.192682926829268;1.2365853658536585;1.2176829268292682;1.214329268292683;1.239430894308943;1.270731707317073;1.2351626016260162;1.2427845528455286;1.235772357723577;1.198780487804878
1.2722574106916646;1.2516848239168992;1.188852292880669;1.2430706865974157;1.2801621484671906;1.3270838611603752;1.3164428680010134;1.189865720800608;1.2333417785659997;1.213985305295161;1.2107423359513556;1.2349632632379022;1.2675956422599441;1.2312135799341273;1.239118317709653;1.230200152014188;1.1956422599442615
1.274487644429451;1.263658598296365;1.1933204014506198;1.242405330184701;1.2788395040904106;1.3225605127772624;1.3110230243737877;1.1891709538669142;1.2323859323606308;1.2121447246352364;1.2085013072446655;1.2327907565151388;1.2649742767985157;1.2299569874335836;1.235523319558067;1.2276292485451632;1.1932191954119928
