WT0;WT1;WT2;WT3;WT4;WT5;WT6;MT0;MT1;MT2;MT3;MT4;MT5;MT6;Blank
0.7354519562284514;0.28736321391095787;0.49566781591965225;0.748223654624494;0.545405486433818;0.6841852795682806;0.7607255284065357;0.8212561834807375;0.9857592564832859;1.1551191725378505;0.767740968370559;0.44832421604129746;2.384419488296135;1.0556438315095187;1.0126517763453753
0.7277848527979625;0.24550153569555772;0.45387669488351184;0.7227507678477789;0.4939695857367593;0.6512847404299947;0.7341673533598022;0.8099483107348866;0.9751741703498389;1.151457037980373;0.7505281294478986;0.39273566756444783;2.5841379679144385;1.0457412540265187;1.0101430818787924
0.7232654288506352;0.22001052394196796;0.4324438096669924;0.7117191610914831;0.4677140494625272;0.6285499511388408;0.7141547019469291;0.805622791851462;0.9665488987446439;1.1500263098549197;0.7360745696459444;0.35498183504676506;2.69611906549854;1.0389836878899494;1.0136360219499359
0.7179920102509987;0.20369337453832817;0.41218059847742516;0.7072284615964424;0.44220999472375067;0.6052913243385843;0.6985452626818421;0.7999397000075374;0.9597648300293962;1.1489862063767242;0.7182633602170799;0.33509083880943175;2.814106254114549;1.0332102208487224;1.0160247229969095
0.7111278762731045;0.19563938136552245;0.3946284420973218;0.6827913994718974;0.42124481327800833;0.5870992078460958;0.6873179932101094;0.7936929460580914;0.9493172387778197;1.1455903432666918;0.7023462844209732;0.3083611520844655;2.917985317733425;1.0248208223311956;1.0167634854771785
0.7050215860031811;0.192138150420359;0.38154964780731654;0.6774823903658259;0.40081799591002043;0.5815950920245399;0.6774823903658259;0.78782094978414;0.941785957736878;1.1463758236764372;0.6864803453760508;0.2905036644316233;3.002282944259171;1.023585548738923;1.020040899795501
0.7026086956521739;0.19249427917620135;0.374279176201373;0.6659954233409611;0.391304347826087;0.5665903890160183;0.6723112128146453;0.7863615560640732;0.9383066361556064;1.1499313501144164;0.671853546910755;0.2764890282131661;3.0429691856199557;1.0216933638443937;1.0279176201372997
0.6973394495412844;0.19220183486238532;0.3648623853211009;0.6687155963302751;0.37798165137614675;0.5498165137614679;0.6672477064220182;0.7796330275229356;0.928532110091743;1.1480733944954127;0.6577981651376147;0.25708218639402275;3.0997988433492583;1.0174311926605504;1.0292660550458714
0.6903240634336935;0.19195587221328433;0.35853826706504255;0.6711100896345668;0.36901861641002065;0.5671339921857045;0.6632957940703287;0.7737071937485636;0.9199724201333026;1.1463111928292347;0.6459204780510227;0.24425699645250296;3.13573223076923;1.0102505171225005;1.0304757527005286
0.6883914147242095;0.19266097392107084;0.35559658435264246;0.663466420493884;0.36095084237249014;0.5321024694207246;0.6625432725594276;0.7723978767597507;0.915116547426725;1.147565197322871;0.6382644818832218;0.23563808771236663;3.1488491433021815;1.0079852296330487;1.0362335564274174
0.6819631712766777;0.19323522613452496;0.3518915170660297;0.6470144078896679;0.3544803143539564;0.5283920178750289;0.661622621157254;0.7648046844903306;0.9049695662223591;1.1449880576315585;0.6297249402881578;0.22753394379538996;3.1612015239096163;1.0015871792896216;1.0516064411742043
0.6734590227010387;0.19244324740284724;0.34721046556367835;0.6402154674874951;0.34785686802616383;0.5268180069257407;0.6602539438245478;0.7563832243170451;0.8939746056175452;1.140438630242401;0.620638707195075;0.21880287815292163;3.1823925531914887;0.9892727972297035;1.034059253559061
0.6677591404498724;0.19312050707273706;0.3468192007420577;0.643085723119734;0.34431475612584056;0.5337249748782562;0.6601530493932132;0.7512406276571074;0.8892633531730695;1.1405426296668468;0.6114555151889928;0.21502064147348363;3.167990692698582;0.9862873927494781;1.0376748859859317
0.6595129493621955;0.19379976807112484;0.34399690761499807;0.6404020100502512;0.33945110166215686;0.5135833011209895;0.6589563200618477;0.7429145728643215;0.8789176652493235;1.1365442597603401;0.5972632392732895;0.2111526529313499;3.1678191747572817;0.9782759953614223;1.0359798994974874
0.6541728126698237;0.19386693579691017;0.3438552907382967;0.6366586445151774;0.3371477369769427;0.5149910721217296;0.6604145640866392;0.7390419998447325;0.8731930750718111;1.1380482881763838;0.5859793494293921;0.20932460482197032;3.150278704958006;0.9770669979038893;1.0403229562922132
0.649025417121472;0.1955403087478559;0.344394199282707;0.6389209418368937;0.33588024325588645;0.5098082020895057;0.6611882114455013;0.7365975362544831;0.8671136753469515;1.1397473881178855;0.5776391704350538;0.2087416793648248;3.128275685954904;0.9754561047871511;1.0458131919538436
0.6442946708463949;0.195423197492163;0.3452351097178683;0.6335736677115986;0.3344200626959248;0.513385579937304;0.6644200626959248;0.7346708463949843;0.8629467084639497;1.140282131661442;0.5627586206896552;0.20884699057287887;3.1091855080359574;0.9755172413793104;1.05141065830721
0.6420448289421943;0.19649233189146675;0.34607943373967753;0.6423279591034211;0.333716083366103;0.5075580023594178;0.6638458513566653;0.7274557609123082;0.857601258356272;1.1410145497443962;0.5560676366496263;0.20869565217391303;3.085303245159531;0.9712308297286667;1.0522060558395596
0.6337248718959402;0.19667323610563658;0.3451951123374064;0.6456444619629483;0.3310051241623965;0.5125423728813558;0.6671186440677966;0.7232163973196689;0.8496018919984233;1.1392668506109578;0.5470713441072133;0.20778380127842055;3.074782817210194;0.9682301931415058;1.055072920772566
0.6292532595811932;0.19742394310549188;0.3461082576056894;0.6464164361912287;0.3314105096799684;0.516128012643224;0.6677518767285658;0.7172500987751875;0.8427973133148953;1.139312524693797;0.5373686290003951;0.20826446280991737;3.0528020547945207;0.9644567364677991;1.0560568945080995
0.6210293653299652;0.19750552573413324;0.34433217556046736;0.6267129775813072;0.32879696874013264;0.5112409220082096;0.6667824439532681;0.7115882538680139;0.833501736659299;1.1345437322387117;0.5240290495737291;0.2084791276751566;3.049032517193947;0.9590148405431007;1.0568676981370382
0.6121926148493715;0.19745394164624022;0.34537835059697947;0.6356290029255951;0.3265912864710999;0.5144619277298964;0.6667510081442239;0.7063177038032735;0.8262512848896972;1.1336759705859099;0.5180675258954693;0.20667153640126612;3.015823076923077;0.9490313908436783;1.0567249149996045
0.6061924420450936;0.19987297554779293;0.3445855827246745;0.6293426484598285;0.3266751349634804;0.5351222610352492;0.6678310574785645;0.7015560495395363;0.8209272785011115;1.1337885042870752;0.5077802476976818;0.2071597488379679;3.0060456732098424;0.9456335344553826;1.060431883137504
